column,rank,value,count
ownerImage,16,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-1/535402672_2839968206200154_4891915979490748452_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_cat=101&ccb=1-7&_nc_sid=08baa4&_nc_ohc=fZTeRgE3qmIQ7kNvwFvlt0o&_nc_oc=Adp95BwELXeIpFcA9ihqrRob4ZqrbFgPHBLZIvMhAYKEBkwVrHL4_OBfIXO9-OnNTKfKBRt65eQeDD-fEjuwxTWc&_nc_zt=24&_nc_ht=scontent-ord5-1.xx&edm=AP4hL3IEAAAA&_nc_gid=zWiiF_Hy5CW1O3RHImUsGw&_nc_tpa=Q5bMBQFOtBehtNFu6whMgd5zeqpsxMd4doXxxSwm04_KBluixB6vLSzQCYP8-P1mQu6mEL1yBimQ&oh=00_Afyf5ldI71owsz9FezZfxXOLXS9nOx0_7U6YQ0hIS8AhSw&oe=69C26B12,1000
ownerImage,17,https://i.scdn.co/image/ab6775700000ee85ca756ab943c00ac10ec3e889,1000
ownerImage,18,https://i.scdn.co/image/ab6775700000ee85a6a313101af497abc526e68a,1000
ownerImage,19,https://i.scdn.co/image/ab6775700000ee852c6f2ee4b5471dd2fa42e881,1000
ownerImage,20,https://i.scdn.co/image/ab6775700000ee8513eaea5ee4e4eec3f13b9011,1000
ownerImage,21,https://i.scdn.co/image/ab6775700000ee852a6738340a8f6ec98be416e3,1000
ownerImage,22,https://i.scdn.co/image/ab6775700000ee859ae0fe842ec5d043964f2b7b,1000
ownerImage,23,https://i.scdn.co/image/ab6775700000ee85a330535b1965a70ac0c9b587,1000
ownerImage,24,https://scontent-ord5-3.xx.fbcdn.net/v/t39.30808-1/439840599_7933296583370665_4201359051221180867_n.jpg?stp=cp1_dst-jpg_s320x320_tt6&_nc_cat=106&ccb=1-7&_nc_sid=08baa4&_nc_ohc=B7N-HKNnYqcQ7kNvwGzCJ4a&_nc_oc=AdpDc4d238bX_puGNhm0pORHQOEC1mSxeV4FJdAQXdTOrpXp6eULrKGhbcycLorMOQYooefOob_-Ug9bU7yQU3wK&_nc_zt=24&_nc_ht=scontent-ord5-3.xx&edm=AP4hL3IEAAAA&_nc_gid=ip3QnpEFP5C7Dzi380rDYg&_nc_tpa=Q5bMBQGCqhwsSIyhSyIspzNIQ6_I0bKBzh7vwtjNa_43MWnMMhubtIUC675P8ByinKUOEeI8pP3Y&oh=00_Afxf-HtdPFivHR_c5orjM94tsXyfgAKhw5mENy2YiD1NxA&oe=69C25AE8,1000
ownerImage,25,https://i.scdn.co/image/ab6775700000ee85b693644d9137d8dc3d8815fd,1000
