playlist_id,name,description,owner_name,owner_id,owner_image,playlistUrl,uri,followers,totalTracks
4N3zXRxrwLbGmVQcFAAAZ8,❤️‍🩹,Funeral playlist ✊🏼,Megan🐞,31efcfenp6jvetddbvnm4wzs4wru,https://i.scdn.co/image/ab6775700000ee85a8eb9d6052964ab21d4b015c,https://open.spotify.com/playlist/4N3zXRxrwLbGmVQcFAAAZ8,spotify:playlist:4N3zXRxrwLbGmVQcFAAAZ8,,37
0TxHi0wwULvU0udLjOdVna,Songs that BETTER be in my funeral 💥,"If they aren&#x27;t played at my funeral, I will literally resuscitate and make y&#x27;all play them😊",♡M^eve♡,w1v5ygp8zsndg1aqowgc6bzan,https://i.scdn.co/image/ab6775700000ee857f925255d9ffd418d527793d,https://open.spotify.com/playlist/0TxHi0wwULvU0udLjOdVna,spotify:playlist:0TxHi0wwULvU0udLjOdVna,,321
3qonlVyIKBOh7dDhA4mUlP,my funeral pres,,tomeme,kw7zv8o4j27m9754i6l4a7x5t,https://i.scdn.co/image/ab6775700000ee8564469aa68f168b33dd1dd0a1,https://open.spotify.com/playlist/3qonlVyIKBOh7dDhA4mUlP,spotify:playlist:3qonlVyIKBOh7dDhA4mUlP,,37
7oZR9RTJVyMlkhkYscvRGG,Funeral Songs,,Lily,31ci3xb4nv2hjq33yzqwrwyyntii,https://i.scdn.co/image/ab6775700000ee8566cd30bb9160057305d2cb53,https://open.spotify.com/playlist/7oZR9RTJVyMlkhkYscvRGG,spotify:playlist:7oZR9RTJVyMlkhkYscvRGG,,357
2HbgirK58gfsWiiklIzRPe,sad mcr songs for that mood,for crying on the bathroom floor and your personal funeral party,creature,scorpiofrnk,https://i.scdn.co/image/ab6775700000ee85e59459591d3e6daee7257624,https://open.spotify.com/playlist/2HbgirK58gfsWiiklIzRPe,spotify:playlist:2HbgirK58gfsWiiklIzRPe,,19
2DLGH3IjnlpsVuSosBZ9ji,Songs to play at my funeral :D,,Memesuga01,harukananase38,https://i.scdn.co/image/ab6775700000ee85b249f0a58d26fbadf120c5e2,https://open.spotify.com/playlist/2DLGH3IjnlpsVuSosBZ9ji,spotify:playlist:2DLGH3IjnlpsVuSosBZ9ji,,198
0yc9HQyTck1nbTCAVNEUDk,Funeral Playlist ,,Kassy,9qqr6b52ba42foh98xaj3lmk1,,https://open.spotify.com/playlist/0yc9HQyTck1nbTCAVNEUDk,spotify:playlist:0yc9HQyTck1nbTCAVNEUDk,,244
4etUa16q1skc74eqga4YG3,FUNERAL PLAYLIST ,play this shi when i die and fuck all yall feeings,Shithead,deepez007,https://i.scdn.co/image/ab6775700000ee85b6f2664f9c39ce03e88ab7cb,https://open.spotify.com/playlist/4etUa16q1skc74eqga4YG3,spotify:playlist:4etUa16q1skc74eqga4YG3,,40
0jukzIaNQpu5oguJjf5tGs,funeral,"and i wish I didnt care, but I thought she was pretty cool",.Pl0t,0aydilphwvzmzjhaw34qkg1gl,https://i.scdn.co/image/ab6775700000ee85a04ea171a0229a41a989153f,https://open.spotify.com/playlist/0jukzIaNQpu5oguJjf5tGs,spotify:playlist:0jukzIaNQpu5oguJjf5tGs,,78
7tReqjvIAaXMclKXe7ImzK,Funeral ,,ernest1195,ernest1195,https://i.scdn.co/image/ab6775700000ee85153fb5f3c7fdcf3e24ec2b48,https://open.spotify.com/playlist/7tReqjvIAaXMclKXe7ImzK,spotify:playlist:7tReqjvIAaXMclKXe7ImzK,,60
5LMyzwL4FKMU4xVE05LmDD,funeral,,finn,qk79y93jfz80b27hgcsrvm7xv,https://i.scdn.co/image/ab6775700000ee85c13d3bbf9082134f7286b8ae,https://open.spotify.com/playlist/5LMyzwL4FKMU4xVE05LmDD,spotify:playlist:5LMyzwL4FKMU4xVE05LmDD,,499
6JTHVCLtUSVUwxqoFXKqC3,Funeral Playlist,,spanky01212,spanky01212,,https://open.spotify.com/playlist/6JTHVCLtUSVUwxqoFXKqC3,spotify:playlist:6JTHVCLtUSVUwxqoFXKqC3,,1786
